#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
08.04.2025,00:00:00,5,0,2.1,0,0.00,0,0,0.00,0,3,2.19,1842,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:00:05,5,0,1.8,0,0.00,0,0,0.00,0,3,2.26,1943,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:00:12,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3360,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:00:15,5,0,1.4,0,0.00,0,0,0.00,0,3,2.23,2125,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:00:17,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2562,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:04,5,0,1.4,0,0.00,0,0,0.00,0,3,2.24,1974,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:07,5,0,1.9,0,0.00,0,0,0.00,0,3,2.22,2002,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:11,5,0,1.8,0,0.00,0,0,0.00,0,3,2.18,1934,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:17,5,0,4.0,0,0.00,0,0,0.00,0,3,2.20,1608,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:22,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2054,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:26,5,3,2.6,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,5002,0,0/0,Nm,deg,
08.04.2025,00:03:32,7,0,1.4,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:36,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3290,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:39,5,0,1.3,0,0.00,0,0,0.00,0,3,2.19,1789,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,00:03:41,5,0,1.8,0,0.00,0,0,0.00,0,3,2.19,2755,0,0.00,0,0,0/0,Nm,deg,
