#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
09.04.2025,00:42:01,5,0,1.4,0,0.00,0,0,0.00,0,3,2.27,1754,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:05,5,0,2.2,0,0.00,0,0,0.00,0,3,2.30,2191,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:09,5,0,1.6,0,0.00,0,0,0.00,0,3,2.22,1972,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:12,5,0,1.8,0,0.00,0,0,0.00,0,3,2.22,2016,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:15,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2125,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:19,5,0,2.2,0,0.00,0,0,0.00,0,3,2.20,3565,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:23,5,0,1.3,0,0.00,0,0,0.00,0,3,2.25,1837,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:42:26,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2801,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:49:44,5,0,1.4,0,0.00,0,0,0.00,0,3,2.22,2030,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:49:47,5,0,2.1,0,0.00,0,0,0.00,0,3,2.24,2158,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:49:50,5,0,1.6,0,0.00,0,0,0.00,0,3,2.25,2103,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:49:53,5,0,2.1,0,0.00,0,0,0.00,0,3,2.30,1908,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:49:57,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2264,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:50:00,5,0,2.2,0,0.00,0,0,0.00,0,3,2.19,3663,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:50:04,5,0,1.4,0,0.00,0,0,0.00,0,3,2.26,2190,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:50:07,5,0,1.8,0,0.00,0,0,0.00,0,3,2.19,2686,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:54:52,5,0,2.0,0,0.00,0,0,0.00,0,3,2.28,2216,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:54:55,5,0,2.3,0,0.00,0,0,0.00,0,3,2.20,1989,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:54:58,5,0,2.2,0,0.00,0,0,0.00,0,3,2.26,2180,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:55:02,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2072,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:55:05,5,0,1.8,0,0.00,0,0,0.00,0,3,2.31,1955,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:55:10,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3428,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:55:14,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2038,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:55:16,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2839,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:17,1,0,0.4,0,0.00,0,0,0.00,0,3,4.24,89,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:19,7,0,1.4,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:21,7,0,1.5,0,0.00,0,0,0.00,0,3,0.04,4000,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:25,7,0,1.4,0,0.00,0,0,0.00,0,3,0.07,4000,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:27,7,0,1.4,0,0.00,0,0,0.00,0,3,0.09,4000,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:30,7,0,1.4,0,0.00,0,0,0.00,0,3,0.14,4000,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:33,1,0,3.1,0,0.00,0,0,0.00,0,3,4.42,4186,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:57:59,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2064,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:01,5,0,1.8,0,0.00,0,0,0.00,0,3,2.26,1986,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:04,5,0,1.6,0,0.00,0,0,0.00,0,3,2.19,2056,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:07,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,1944,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:10,5,0,1.6,0,0.00,0,0,0.00,0,3,2.23,2028,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:16,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3486,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:20,5,0,1.4,0,0.00,0,0,0.00,0,3,2.21,1986,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,00:58:22,5,0,1.6,0,0.00,0,0,0.00,0,3,2.21,2602,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:02,5,0,1.5,0,0.00,0,0,0.00,0,3,2.22,2104,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:05,5,0,2.2,0,0.00,0,0,0.00,0,3,2.29,2154,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:08,5,0,1.7,0,0.00,0,0,0.00,0,3,2.18,2025,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:11,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2033,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:13,5,0,1.6,0,0.00,0,0,0.00,0,3,2.25,2088,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:17,5,0,2.2,0,0.00,0,0,0.00,0,3,2.20,3714,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:20,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2161,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:06:23,5,0,1.7,0,0.00,0,0,0.00,0,3,2.17,2609,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:16:39,5,0,1.4,0,0.00,0,0,0.00,0,3,2.25,2163,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:16:42,5,0,2.2,0,0.00,0,0,0.00,0,3,2.20,2214,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:16:46,5,0,5.6,0,0.00,0,0,0.00,0,3,2.23,1840,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:16:54,5,0,1.4,0,0.00,0,0,0.00,0,3,2.24,2067,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:16:56,5,0,1.6,0,0.00,0,0,0.00,0,3,2.28,1955,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:17:00,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3426,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:17:03,5,0,1.3,0,0.00,0,0,0.00,0,3,2.22,1901,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:17:06,5,0,1.8,0,0.00,0,0,0.00,0,3,2.19,2753,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:19:53,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2252,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:19:56,5,0,2.0,0,0.00,0,0,0.00,0,3,2.18,2442,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:19:59,5,0,1.7,0,0.00,0,0,0.00,0,3,2.23,1913,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:20:03,5,0,2.0,0,0.00,0,0,0.00,0,3,2.19,2179,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:20:07,5,0,1.4,0,0.00,0,0,0.00,0,3,2.23,2002,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:20:11,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3447,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:20:15,5,0,1.5,0,0.00,0,0,0.00,0,3,2.28,2206,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:20:18,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2626,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:24:51,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2524,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:24:55,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2079,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:24:57,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3551,0,0.00,0,0,0/0,Nm,deg,
09.04.2025,01:25:01,5,5,1.5,0,0.00,0,0,0.00,0,0,0.00,0,1,2.33,1872,0,0/0,Nm,deg,
