#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#042_Torque Unit,#043_Angle Unit
7,0,4,0,0,0,0,0,0,1,2.26,829,0,0,400,0/0,Nm,deg
7,0,1,0,0,0,0,0,0,2,0.71,2446,0,0,1248,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,1,2.58,1193,0,0,1979,0/0,Nm,deg
1,5,3,0,0,0,0,0,0,3,3.34,5218,0,0,1705,0/0,Nm,deg
1,0,0,0,0,0,0,0,0,1,1.73,4710,0,0,1696,0/0,Nm,deg
7,0,4,0,0,0,0,0,0,0,0.07,68,0,0,1640,0/0,Nm,deg
7,0,0,0,0,0,0,0,0,1,2.16,4454,0,0,1576,0/0,Nm,deg
1,0,0,0,0,0,0,0,0,0,2.14,1313,0,1,1771,0/0,Nm,deg
7,0,4,0,0,0,0,0,0,2,4.61,3175,0,0,909,0/0,Nm,deg
1,0,2,0,0,0,0,0,0,1,1.64,2626,0,1,959,0/0,Nm,deg
5,5,3,0,0,0,0,0,0,5,0.19,1645,0,0,1843,0/0,Nm,deg
1,5,0,0,0,0,0,0,0,0,4.55,716,0,0,227,0/0,Nm,deg
7,0,0,0,0,0,0,0,0,2,2.46,1051,0,1,1923,0/0,Nm,deg
1,0,2,0,0,0,0,0,0,1,2.51,3189,0,1,917,0/0,Nm,deg
1,5,2,0,0,0,0,0,0,0,0.74,4555,0,1,1412,0/0,Nm,deg
7,5,2,0,0,0,0,0,0,5,3.34,1234,0,1,227,0/0,Nm,deg
7,0,3,0,0,0,0,0,0,0,2.34,2444,0,1,2119,0/0,Nm,deg
1,0,0,0,0,0,0,0,0,2,1.42,2480,0,1,947,0/0,Nm,deg
7,0,3,0,0,0,0,0,0,4,4.55,763,0,1,560,0/0,Nm,deg
7,5,0,0,0,0,0,0,0,2,2.31,93,0,1,1480,0/0,Nm,deg
7,0,4,0,0,0,0,0,0,4,4.59,1372,0,0,1417,0/0,Nm,deg
7,0,2,0,0,0,0,0,0,2,0.85,4564,0,1,1929,0/0,Nm,deg
5,0,0,0,0,0,0,0,0,3,4.08,1682,0,1,1983,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,5,1.21,2596,0,0,782,0/0,Nm,deg
7,5,0,0,0,0,0,0,0,5,1.8,3054,0,0,647,0/0,Nm,deg
5,5,2,0,0,0,0,0,0,2,3.56,2380,0,1,2095,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,1,3.77,3234,0,0,465,0/0,Nm,deg
1,5,2,0,0,0,0,0,0,5,0.1,3493,0,1,364,0/0,Nm,deg
7,5,1,0,0,0,0,0,0,2,4.1,1956,0,1,1828,0/0,Nm,deg
5,0,0,0,0,0,0,0,0,0,2.71,4274,0,0,1142,0/0,Nm,deg
1,0,4,0,0,0,0,0,0,3,2.26,3451,0,1,203,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,3,2.18,4132,0,1,2149,0/0,Nm,deg
5,5,0,0,0,0,0,0,0,1,4.66,1575,0,0,1781,0/0,Nm,deg
1,5,2,0,0,0,0,0,0,3,1.32,3869,0,0,1761,0/0,Nm,deg
1,5,1,0,0,0,0,0,0,5,1.32,2426,0,0,2062,0/0,Nm,deg
1,0,3,0,0,0,0,0,0,4,1.5,1260,0,0,285,0/0,Nm,deg
1,5,4,0,0,0,0,0,0,2,1.79,4346,0,1,8,0/0,Nm,deg
1,0,0,0,0,0,0,0,0,2,4.68,627,0,1,814,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,0,3.79,338,0,1,1626,0/0,Nm,deg
7,5,0,0,0,0,0,0,0,3,0.57,2391,0,0,1595,0/0,Nm,deg
5,5,3,0,0,0,0,0,0,0,3.35,2889,0,1,1836,0/0,Nm,deg
7,0,1,0,0,0,0,0,0,1,3.08,4363,0,1,1118,0/0,Nm,deg
1,5,2,0,0,0,0,0,0,3,4.75,1300,0,0,977,0/0,Nm,deg
7,0,0,0,0,0,0,0,0,0,1.9,3279,0,1,137,0/0,Nm,deg
5,5,4,0,0,0,0,0,0,1,4.47,3410,0,1,394,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,0,2.91,3729,0,1,438,0/0,Nm,deg
5,5,0,0,0,0,0,0,0,5,3.48,4366,0,1,1625,0/0,Nm,deg
7,5,3,0,0,0,0,0,0,4,0.34,2978,0,1,1963,0/0,Nm,deg
7,5,1,0,0,0,0,0,0,3,0.03,1241,0,1,1868,0/0,Nm,deg
1,5,3,0,0,0,0,0,0,4,0.73,3529,0,0,293,0/0,Nm,deg
1,5,3,0,0,0,0,0,0,1,2.58,1880,0,0,517,0/0,Nm,deg
7,0,0,0,0,0,0,0,0,1,1.85,364,0,0,1544,0/0,Nm,deg
7,5,0,0,0,0,0,0,0,2,1.72,3775,0,0,474,0/0,Nm,deg
1,0,2,0,0,0,0,0,0,4,2.71,2274,0,0,1264,0/0,Nm,deg
5,0,0,0,0,0,0,0,0,1,2.88,4596,0,1,331,0/0,Nm,deg
1,0,4,0,0,0,0,0,0,4,3.7,1708,0,0,1278,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,4,4.49,1556,0,1,562,0/0,Nm,deg
5,0,3,0,0,0,0,0,0,2,2.65,3405,0,1,1179,0/0,Nm,deg
5,5,2,0,0,0,0,0,0,0,1.57,3363,0,1,682,0/0,Nm,deg
7,5,2,0,0,0,0,0,0,4,1.16,2055,0,1,247,0/0,Nm,deg
5,5,2,0,0,0,0,0,0,2,3.86,135,0,1,915,0/0,Nm,deg
1,5,4,0,0,0,0,0,0,1,3.26,702,0,0,1852,0/0,Nm,deg
7,5,2,0,0,0,0,0,0,0,3.66,1842,0,0,1349,0/0,Nm,deg
5,5,0,0,0,0,0,0,0,3,1.44,4407,0,0,79,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,1,4.75,2310,0,0,1445,0/0,Nm,deg
5,0,2,0,0,0,0,0,0,5,3.34,286,0,1,1088,0/0,Nm,deg
1,0,2,0,0,0,0,0,0,3,1.33,3321,0,0,1521,0/0,Nm,deg
1,0,2,0,0,0,0,0,0,5,4.0,2530,0,1,1372,0/0,Nm,deg
1,5,4,0,0,0,0,0,0,2,2.76,5009,0,1,1389,0/0,Nm,deg
5,0,3,0,0,0,0,0,0,3,2.99,2822,0,1,1887,0/0,Nm,deg
7,5,1,0,0,0,0,0,0,5,1.4,3816,0,1,609,0/0,Nm,deg
1,0,3,0,0,0,0,0,0,1,1.97,2628,0,0,1984,0/0,Nm,deg
7,5,1,0,0,0,0,0,0,1,1.18,3149,0,0,971,0/0,Nm,deg
7,5,0,0,0,0,0,0,0,2,4.78,5069,0,1,1979,0/0,Nm,deg
5,0,2,0,0,0,0,0,0,3,3.91,5004,0,1,1022,0/0,Nm,deg
5,0,4,0,0,0,0,0,0,1,1.79,4583,0,0,1889,0/0,Nm,deg
7,0,2,0,0,0,0,0,0,5,3.61,1408,0,0,1952,0/0,Nm,deg
1,5,2,0,0,0,0,0,0,2,2.05,4757,0,1,402,0/0,Nm,deg
5,5,4,0,0,0,0,0,0,3,0.85,2569,0,0,724,0/0,Nm,deg
7,5,3,0,0,0,0,0,0,3,0.74,5078,0,0,518,0/0,Nm,deg
7,5,3,0,0,0,0,0,0,5,2.35,3499,0,0,2079,0/0,Nm,deg
5,0,1,0,0,0,0,0,0,2,4.12,1129,0,0,2107,0/0,Nm,deg
7,5,4,0,0,0,0,0,0,0,2.88,3060,0,0,1083,0/0,Nm,deg
1,5,4,0,0,0,0,0,0,2,1.18,3489,0,1,1565,0/0,Nm,deg
1,0,3,0,0,0,0,0,0,2,0.97,3280,0,0,756,0/0,Nm,deg
7,0,2,0,0,0,0,0,0,4,2.14,1636,0,0,408,0/0,Nm,deg
5,5,4,0,0,0,0,0,0,1,4.87,1646,0,0,48,0/0,Nm,deg
7,0,2,0,0,0,0,0,0,3,3.77,4328,0,0,1083,0/0,Nm,deg
7,5,4,0,0,0,0,0,0,4,4.56,2744,0,1,2145,0/0,Nm,deg
1,5,1,0,0,0,0,0,0,4,1.88,2724,0,1,49,0/0,Nm,deg
1,5,1,0,0,0,0,0,0,3,0.43,3324,0,1,1611,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,5,4.29,2591,0,1,462,0/0,Nm,deg
5,0,0,0,0,0,0,0,0,2,2.5,1191,0,0,727,0/0,Nm,deg
5,5,1,0,0,0,0,0,0,0,1.36,1901,0,1,81,0/0,Nm,deg
1,5,3,0,0,0,0,0,0,3,1.31,1659,0,0,1339,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,4,3.35,2870,0,1,1150,0/0,Nm,deg
5,5,2,0,0,0,0,0,0,2,4.7,1616,0,0,1581,0/0,Nm,deg
1,0,1,0,0,0,0,0,0,3,0.23,4470,0,1,1760,0/0,Nm,deg
1,0,0,0,0,0,0,0,0,2,3.66,4803,0,1,1079,0/0,Nm,deg
7,5,1,0,0,0,0,0,0,1,3.92,1673,0,1,454,0/0,Nm,deg
5,0,0,0,0,0,0,0,0,4,1.93,1638,0,0,1455,0/0,Nm,deg
1,0,4,0,0,0,0,0,0,4,4.99,1050,0,1,1544,0/0,Nm,deg
